product_name,category,price,quantity_in_stock,quantity_sold,brand,rating,num_of_ratings,date_added,color
"OLED G1 (55"", Green frame)",TVs,1799,0,169,LG,9.2 out of 10,123,9.4.2025,green
,Toys,45.99,481,230,Fisher-Price,,,6.19.2024,purple
"Q950TS 8K QLED (50"", Black frame)",TVs,1999,out of stock,845,Samsung,9.2 out of 10,669,1.22.2020,black
Hot Wheels 20-Car Pack (Purple),Toys,21.99,,,,8.5 out of 10,,,purple
32X (Brown),Gaming Consoles,120,101,12,Sega,7.5 out of 10,11,2.8.2024,brown
"Galaxy Tab S7 (512GB, Brown)",Tablets,799,0,605,Samsung,8.5 out of 10,491,9.30.2023,brown
"Air Force 1 (Black, EU 46)",Shoes,120,444,570,Nike,8.75 out of 10,472,5.19.2021,black
"Classic Leather (Gray, EU 46)",Shoes,85,496,675,Reebok,8.5 out of 10,553,8.29.2024,gray
The Grind Control (Red),Kitchen,299.95,60,716,Breville,8.75 out of 10,572,9.1.2020,red
"Alphaskin Tights (Black, L)",Clothing,45,328,829,Adidas,no value,,8.13.2021,black
Ektorp Sofa (White),Furniture,399,0,168,IKEA,8.5 out of 10,128,12.24.2024,white
K70 RGB MK.2 (Orange),Keyboards,160,209,609,Corsair,8.75 out of 10,501,6.18.2024,orange
"AirPods (3rd generation) (Wired, Brown)",Headphones,179,0,39,Apple,8.75 out of 10,31,10.7.2024,red
"Linen Blend Shirt (Green, XS)",Clothing,29.99,0,602,H&M,8.2 out of 10,481,7.22.2021,green
Air Hogs Super Soft (Gray),Toys,29.99,437,539,Spin Master,8.25 out of 10,420,6.13.2022,gray
Xbox Series S (Blue),Gaming Consoles,299.99,162,917,Microsoft,,,6.9.2024,blue
"TUF Gaming A15 (128GB, Blue)",Laptops,899,0,358,Asus,8.5 out of 10,290,6.6.2025,blue
Xbox Series X (Red),Gaming Consoles,499,0,339,Microsoft,9.2 out of 10,271,12.26.2024,red
Magic Mouse 2 (Orange),Mice,79,0,115,Apple,8.5 out of 10,90,2.28.2025,orange
"50S535 (65"", Gray frame)",TVs,599,195,247,TCL,8.75 out of 10,194,2.24.2020,gray
K65 RGB Mini (Green),Keyboards,109.99,428,509,Corsair,8.5 out of 10,411,12.3.2023,green
"Tab P12 Pro (1TB, White)",Tablets,899,21,349,Lenovo,8.5 out of 10,264,8.9.2022,white
"QLED Q80A (75"", Purple frame)",TVs,1999,180,342,Samsung,8.7 out of 10,275,7.9.2022,purple
Apex Raw (Blue),Keyboards,79.99,98,640,SteelSeries,8.75 out of 10,507,4.17.2023,blue
"NMD R1 (Yellow, EU 38)",Shoes,140,0,869,Adidas,8.75 out of 10,697,1.16.2025,yellow
G Pro Mechanical (Gray),Keyboards,129.99,4,779,Logitech,8.75 out of 10,624,5.20.2020,gray
"Poco F3 (512GB, Gray)",Smartphones,399,0,642,Xiaomi,,522,4.8.2025,gray
Harry Potter Hogwarts Castle (71043) (Orange),Toys,469.99,0,406,LEGO,9.6 out of 10,331,8.11.2022,orange
"Galaxy Tab S7 FE (256GB, Black)",Tablets,529.99,0,50,Samsung,8.6 out of 10,39,7.23.2025,black
Strandmon Wing Chair (Gray),Furniture,279,0,9,IKEA,8.6 out of 10,7,8.6.2025,gray
"AirPods (2nd generation) (Wired, Green)",Headphones,129,0,538,Apple,8.7 out of 10,435,8.11.2024,red
Porter Panel Bed (Gray),Furniture,450,21,768,Ashley Furniture,8.5 out of 10,614,8.15.2025,gray
"ZenBook 14 UX425 (128GB, Gray)",Laptops,799,67,437,Asus,8.5 out of 10,355,10.9.2020,gray
"Alphaskin Tights (Yellow, XS)",Clothing,40,97,895,Adidas,8.5 out of 10,706,9.12.2021,yellow
"XPS 15 (9500) (64GB, Blue)",Laptops,2500,181,668,Dell,8.75 out of 10,529,6.24.2023,blue
"WH-XB900N (Wired, Black)",Headphones,149.99,166,975,Sony,8.75 out of 10,772,8.2.2020,red
Mistana Armchair (Red),Furniture,300,0,377,Wayfair,8.5 out of 10,295,11.22.2020,red
"Launch SW 7"" Shorts (Green, XXL)",Clothing,35,412,473,Under Armour,8.75 out of 10,372,9.16.2022,green
K380 (Brown),Keyboards,39.99,402,373,Logitech,8.75 out of 10,297,3.12.2021,brown
"Momentum 2.0 (Wired, Yellow)",Headphones,230,373,180,Sennheiser,,147,8.17.2022,red
"7 Pro (1TB, Green)",Smartphones,749,470,459,OnePlus,8.5 out of 10,370,5.31.2020,green
Bjursta Extendable Table (Red),Furniture,249,492,160,IKEA,8.5 out of 10,127,8.23.2020,red
"Redmi Note 11 (128GB, Purple)",Smartphones,220,311,659,Xiaomi,8.5 out of 10,522,9.1.2023,red
VCS (2021) (White),Gaming Consoles,299.99,79,3,Atari,7.5 out of 10,1,6.9.2025,white
"Evolve2 65 (Wireless, Yellow)",Headphones,249.99,0,825,Jabra,8.75 out of 10,633,4.16.2020,yellow
Pax Wardrobe (White),Furniture,500,150,25,IKEA,8.5 out of 10,18,3.25.2020,white
"Pro HyperWarm Top (Purple, M)",Clothing,60,0,932,Nike,8.75 out of 10,751,1.5.2021,purple
G512 Carbon (Orange),Keyboards,99.99,148,14,Logitech,8.75 out of 10,10,12.21.2025,orange
Genesis Mini (Purple),Gaming Consoles,79.99,219,596,Sega,8.75 out of 10,493,1.9.2023,purple
"iPad Air (2020) (256GB, White)",Tablets,749,out of stock,56,Apple,9.2 out of 10,45,2.22.2020,white
"MatePad T10 (64GB, Blue)",Tablets,150,162,275,Huawei,7.5 out of 10,223,7.29.2022,blue
Willenburg Upholstered Bed (Blue),Furniture,450,410,809,Ashley Furniture,8.75 out of 10,651,3.21.2021,red
"EliteBook 840 G6 (1TB, Orange)",Laptops,1200,447,110,HP,,91,8.19.2023,orange
City Police Station (60141) (Red),Toys,99.99,59,195,LEGO,8.75 out of 10,159,4.20.2024,red
Apex Pro (Red),Keyboards,199.99,0,969,SteelSeries,,764,5.9.2021,red
Wireless Mouse 900 (White),Mice,29.99,197,319,Microsoft,8.5 out of 10,247,5.16.2025,white
"Ultraboost 21 (Brown, EU 38)",Shoes,180,259,750,Adidas,8.75 out of 10,583,7.8.2024,brown
Magic Trackpad (2021) (White),Mice,129,0,651,Apple,8.75 out of 10,524,8.13.2022,white
"SoundLink Around-Ear II (Wireless, Purple)",Headphones,229,465,239,Bose,8.75 out of 10,195,7.12.2021,purple
Edge Water Computer Desk (Blue),Furniture,180,366,974,Sauder,8.5 out of 10,748,1.4.2024,blue
Smart WiFi (Gray),Kitchen,49.99,291,369,Instant Pot,8.75 out of 10,291,6.11.2020,gray
Monster High Doll (Purple),Toys,24.99,398,66,Mattel,8.75 out of 10,55,10.11.2022,purple
PlayStation Classic (Green),Gaming Consoles,100,0,331,Sony,7.5 out of 10,270,9.15.2024,green
"Noise Cancelling Headphones 700 (Wireless, Yellow)",Headphones,379,271,80,Bose,8.75 out of 10,62,8.24.2022,yellow
Arc Mouse (Purple),Mice,79.99,0,514,Microsoft,8.45 out of 10,412,9.3.2024,purple
Designer Compact Keyboard (Green),Keyboards,129.99,0,79,Microsoft,8.75 out of 10,64,7.31.2020,green
Apex Pro (Green),Keyboards,199.99,385,347,SteelSeries,9 out of 10,281,8.3.2022,green
"iPad mini (2021) (64GB, Blue)",Tablets,499,266,185,Apple,8.75 out of 10,151,2.2.2022,blue
"Ribcage Straight Ankle (Green, XS)",Clothing,98,132,615,Levi's,8.75 out of 10,488,8.5.2025,green
Sense (Black),Watches,299.95,60,874,Fitbit,8.75 out of 10,709,9.3.2020,black
"EliteBook 840 G6 (64GB, Gray)",Laptops,1200,361,281,HP,8.5 out of 10,220,8.16.2025,gray
Wired Keyboard 600 (Blue),Keyboards,25,0,261,Microsoft,8.5 out of 10,197,1.5.2025,red
"MacBook Pro 14 (2023) (128GB, Orange)",Laptops,1999,399,5,Apple,9.3 out of 10,4,5.22.2025,orange
"WH-CH710N (Wired, Brown)",Headphones,99.99,159,247,Sony,8.35 out of 10,203,5.2.2021,red
Foodi Multi-Cooker (Purple),Kitchen,249.99,84,819,Ninja,8.7 out of 10,660,5.1.2022,purple
Apex 7 (Green),Keyboards,130,0,231,SteelSeries,9.2 out of 10,179,3.8.2022,green
"Zig Kinetica (Blue, EU 44)",Shoes,120,463,900,Reebok,8.35 out of 10,707,1.21.2024,blue
"IdeaPad 5 (1TB, White)",Laptops,850,0,213,Lenovo,8.25 out of 10,162,8.13.2021,white
"Mate 40 (1TB, Black)",Smartphones,1299,75,872,Huawei,8.5 out of 10,700,7.31.2020,black
"SoundTrue Ultra (Wireless, Black)",Headphones,149,0,263,Bose,,211,2.24.2023,black
"990v5 (Green, EU 39)",Shoes,185,325,659,New Balance,8.75 out of 10,549,6.10.2021,green
"MacBook Air (2017) (512GB, White)",Laptops,750,171,573,Apple,8.5 out of 10,455,7.29.2025,white
Baby Learning Table (Blue),Toys,39.99,49,363,Fisher-Price,8.75 out of 10,285,1.11.2024,blue
G213 Prodigy (Gray),Keyboards,49.99,105,157,Logitech,8.75 out of 10,118,8.22.2022,gray
Battleship (Blue),Toys,24.99,0,758,Hasbro,8.75 out of 10,624,10.17.2024,blue
"AirPods Max (Wireless, Red)",Headphones,549,17,707,Apple,8.7 out of 10,569,6.28.2024,red
Genesis (Black),Gaming Consoles,50,0,442,Sega,,365,7.9.2021,black
"IdeaPad Duet 3 (1TB, Orange)",Tablets,499.99,423,525,Lenovo,8.2 out of 10,409,2.11.2022,orange
"ZenBook Duo 14 (64GB, Gray)",Laptops,1800,313,125,Asus,8.75 out of 10,100,12.7.2024,gray
Ornata Chroma (Black),Keyboards,99.99,0,30,Razer,8.75 out of 10,25,12.4.2020,black
Max (Gray),Kitchen,119.95,446,839,Instant Pot,,657,12.13.2021,gray
"Surface Pro 8 (1TB, Brown)",Tablets,1699,208,206,Microsoft,8.85 out of 10,164,4.22.2020,brown
"CrossFit Nano 9 (Yellow, EU 46)",Shoes,130,0,514,Reebok,8.75 out of 10,402,2.6.2021,yellow
Etch A Sketch (Gray),Toys,15.99,200,460,Spin Master,8.5 out of 10,371,10.30.2022,gray
"Adizero Adios Pro (Blue, EU 40)",Shoes,250,152,78,Adidas,8.75 out of 10,53,4.2.2022,blue
Xbox 360 Elite (Green),Gaming Consoles,250,32,620,Microsoft,7.5 out of 10,494,10.6.2023,green
"Beats Flex (Wireless, Black)",Headphones,69.99,336,16,Apple,8.5 out of 10,14,12.1.2023,black
"P40 Pro (1TB, Brown)",Smartphones,1199,307,448,Huawei,8.4 out of 10,356,8.25.2023,brown
"MatePad T8 (512GB, Red)",Tablets,150,235,398,Huawei,7.5 out of 10,319,6.7.2022,red
Palladia Armoire (Yellow),Furniture,399.99,297,57,Sauder,8.45 out of 10,47,9.24.2023,yellow
"Samba (Gray, EU 46)",Shoes,100,172,213,Adidas,9.2 out of 10,179,10.22.2025,gray
K70 RGB MK.2 (Purple),Keyboards,159.99,0,314,Corsair,9.25 out of 10,265,12.5.2023,purple
"Storm Cyclone Jacket (Black, XL)",Clothing,150,0,637,Under Armour,8.75 out of 10,531,11.27.2022,black
DeathAdder V2 (Purple),Mice,69.99,0,88,Razer,8.75 out of 10,69,3.24.2025,purple
PlayStation 3 (Green),Gaming Consoles,100,0,452,Sony,7.5 out of 10,367,10.12.2024,green
Wireless Mobile Mouse 4000 (Brown),Mice,29.99,0,248,Microsoft,8.2 out of 10,191,11.2.2024,brown
"SB Icon Hoodie (Blue, L)",Clothing,65,305,212,Nike,8.75 out of 10,179,10.8.2022,blue
Battleship (Purple),Toys,24.99,0,232,Hasbro,8.5 out of 10,183,5.25.2025,purple
Hot and Cold Brewed System (Green),Kitchen,159.99,231,612,Ninja,9.2 out of 10,494,11.29.2024,green
All-in-One Media Keyboard (Brown),Keyboards,39.99,0,452,Microsoft,,372,5.24.2023,brown
M330 Silent Plus (Green),Mice,25.99,179,419,Logitech,,338,6.17.2020,green
Luxe (Gray),Watches,129.95,0,149,Fitbit,8.5 out of 10,121,10.6.2021,gray
2-Slice Toaster (Gray),Kitchen,49.99,0,782,KitchenAid,8.5 out of 10,628,1.31.2024,gray
"OLED CX (55"", Gray frame)",TVs,1399,0,586,LG,9.2 out of 10,464,2.14.2020,gray
"Surface Go (256GB, Red)",Tablets,549.99,0,508,Microsoft,8.5 out of 10,412,5.14.2023,red
MX Master 2S (Purple),Mice,75,87,430,Logitech,8.75 out of 10,338,8.30.2025,purple
Surface Mobile Mouse (Orange),Mice,34.99,349,486,Microsoft,8.5 out of 10,396,8.20.2020,orange
"Surface Go 2 (1TB, Orange)",Tablets,799.99,465,862,Microsoft,8.5 out of 10,669,3.12.2023,orange
"511 Slim Jeans (Purple, M)",Clothing,69.5,0,943,Levi's,8.75 out of 10,746,8.6.2022,purple
"Smash (Purple, EU 39)",Shoes,60,369,261,Puma,8.2 out of 10,217,12.26.2020,purple
Aerox 5 Wireless (Yellow),Mice,129.99,141,928,SteelSeries,8.75 out of 10,732,4.15.2022,yellow
"SoundTrue Ultra (Wired, Blue)",Headphones,129.95,60,362,Bose,8.75 out of 10,295,1.31.2025,red
"MatePad T8 (256GB, Green)",Tablets,169,99,325,Huawei,7.5 out of 10,271,11.21.2022,green
Galaxy Fit (Black),Watches,99.99,270,798,Samsung,8.5 out of 10,644,11.21.2024,black
Charge 4 (Black),Watches,129.95,58,357,Fitbit,8.4 out of 10,275,6.4.2022,black
"iPad Pro 11 (2020) (64GB, Black)",Tablets,799,0,213,Apple,9.5 out of 10,171,8.24.2023,black
Malm Bed Frame (Purple),Furniture,249,0,11,IKEA,8.25 out of 10,8,2.9.2025,purple
Connect 4 (Purple),Toys,9.99,0,316,Hasbro,8.5 out of 10,251,1.21.2024,purple
"RC Elite (Blue, EU 38)",Shoes,225,258,407,New Balance,8.75 out of 10,320,12.29.2024,blue
Magic Mouse 2 (Brown),Mice,79,344,309,Apple,8.5 out of 10,246,9.21.2023,brown
"55R635 (43"", Black frame)",TVs,350,0,157,TCL,8.75 out of 10,127,10.21.2024,black
Food Processor KFP1466 (Purple),Kitchen,299.99,0,915,KitchenAid,8.75 out of 10,748,4.10.2025,purple
Surface Mobile Mouse (Blue),Mice,34.99,0,921,Microsoft,8.2 out of 10,726,2.10.2020,blue
"Alienware m15 R3 (256GB, Black)",Laptops,1300,467,766,Dell,8.5 out of 10,607,5.15.2020,black
"Sportswear Club Fleece Joggers (White, XS)",Clothing,50,291,841,Nike,8.75 out of 10,663,1.23.2024,white
"MacBook Air M2 (2022) (256GB, Orange)",Laptops,1099,51,996,Apple,8.75 out of 10,799,1.20.2020,orange
"Iso-Chill Shorts (Black, S)",Clothing,45,262,651,Under Armour,,,10.28.2023,black
Fenix 7 (Orange),Watches,699,5,619,Garmin,9.25 out of 10,491,5.10.2020,orange
Sculpt Comfort Mouse (Black),Mice,29.99,0,909,Microsoft,8.5 out of 10,732,6.18.2024,black
"Galaxy Tab S7 (512GB, Yellow)",Tablets,749.99,69,558,Samsung,8.8 out of 10,455,10.6.2025,yellow
"Yoga Smart Tab (256GB, Brown)",Tablets,300,0,133,Lenovo,8.5 out of 10,109,9.24.2020,brown
"50S535 (65"", Brown frame)",TVs,699.99,296,541,TCL,8.75 out of 10,439,8.15.2025,brown
"Bravia A90J (55"", Blue frame)",TVs,1999.99,0,692,Sony,9.3 out of 10,536,12.17.2020,blue
Aerox 5 Wireless (Green),Mice,139.99,364,990,SteelSeries,8.75 out of 10,790,2.21.2021,green
G-Shock GA2100 (White),Watches,99,0,615,Casio,8.75 out of 10,484,1.5.2020,white
Computer Desk (Green),Furniture,129.99,430,419,Sauder,8.25 out of 10,345,12.18.2023,green
Operation (Blue),Toys,19.99,490,77,Hasbro,8.45 out of 10,61,10.10.2022,blue
"Legacy Lifter (Yellow, EU 44)",Shoes,200,0,834,Reebok,8.75 out of 10,687,6.28.2022,yellow
"Evolve2 85 (Wired, Black)",Headphones,249,141,511,Jabra,8.75 out of 10,405,9.13.2020,red
"Manchester United Home Jersey (Red, S)",Clothing,90,4,810,Adidas,8.75 out of 10,633,12.20.2023,red
Darcy Sofa (Green),Furniture,549.99,0,161,Ashley Furniture,8.75 out of 10,119,1.27.2021,green
Brilliant Basics Corn Popper (Red),Toys,10.99,0,929,Fisher-Price,8.5 out of 10,747,8.7.2022,red
Precision Brewer (Green),Kitchen,299.95,0,1,Breville,8.75 out of 10,1,7.11.2025,green
Transformers Bumblebee (Black),Toys,24.99,32,469,Hasbro,8.75 out of 10,360,1.14.2023,black
"MacBook Air (2019) (512GB, Green)",Laptops,1099,177,905,Apple,8.75 out of 10,713,12.7.2021,green
Mamba Elite (Brown),Mice,89.99,63,292,Razer,8.75 out of 10,240,11.24.2020,brown
"P20 (512GB, Purple)",Smartphones,749,0,844,Huawei,8.5 out of 10,666,10.25.2023,purple
Three Posts Reistville Panel Bed (Red),Furniture,250,396,457,Wayfair,8.5 out of 10,375,10.13.2024,red
"65PUS8504 (55"", Brown frame)",TVs,700,417,631,Philips,8.5 out of 10,495,11.24.2020,brown
PS TV (Blue),Gaming Consoles,99.99,346,920,Sony,8.5 out of 10,729,2.9.2023,blue
G Pro Wireless (White),Mice,129.99,0,814,Logitech,9.25 out of 10,648,11.19.2024,white
PSP (Brown),Gaming Consoles,120,71,50,Sony,8.75 out of 10,39,9.8.2024,brown
"Workout Plus (Gray, EU 42)",Shoes,85,0,444,Reebok,8.5 out of 10,351,11.6.2023,gray
G-Shock GA700 (White),Watches,99,440,812,Casio,7.5 out of 10,658,6.9.2024,white
"Originals Trefoil Hoodie (Orange, L)",Clothing,65,262,692,Adidas,8.75 out of 10,569,4.25.2025,orange
"Yoga Slim 7 (512GB, Red)",Laptops,950,369,25,Lenovo,8.75 out of 10,22,7.31.2024,red
"Galaxy Tab S7 FE (64GB, Brown)",Tablets,449.99,0,479,Samsung,7.8 out of 10,367,11.22.2023,brown
Sorry! (Brown),Toys,9.99,0,825,Hasbro,8.5 out of 10,659,6.18.2023,brown
"5-Series S546 (65"", Gray frame)",TVs,699,340,60,TCL,8.45 out of 10,52,3.13.2021,gray
Porter Panel Bed (Red),Furniture,500,0,647,Ashley Furniture,8.5 out of 10,513,8.30.2024,red
"iPhone 13 (128GB, White)",Smartphones,699,235,860,Apple,9.2 out of 10,713,3.13.2025,white
"iPhone X (512GB, Green)",Smartphones,999,245,12,Apple,8.75 out of 10,11,4.20.2025,green
"4-Series 55S435 (50"", Green frame)",TVs,299.99,0,411,TCL,7.8 out of 10,322,7.26.2022,green
Pico (Purple),Gaming Consoles,100,0,671,Sega,7.5 out of 10,531,10.24.2021,purple
"Bravia X950H (65"", Black frame)",TVs,1199,325,489,Sony,8.75 out of 10,403,3.13.2025,black
"Galaxy S20 (512GB, Brown)",Smartphones,1199,0,140,Samsung,8.75 out of 10,117,11.16.2022,brown
Master Prep Professional (Brown),Kitchen,49.99,363,87,Ninja,8.75 out of 10,67,7.4.2020,brown
Natural Ergonomic Keyboard 4000 (Gray),Keyboards,49.99,0,599,Microsoft,8.5 out of 10,466,8.26.2025,gray
Cottage Road Coffee Table (White),Furniture,150,423,168,Sauder,8.25 out of 10,134,6.15.2021,white
"ThinkPad X1 Carbon (7th Gen) (256GB, Red)",Laptops,1100,0,39,Lenovo,8.75 out of 10,30,6.21.2023,red
Edge Water Computer Desk (Green),Furniture,200,296,717,Sauder,8.5 out of 10,553,8.1.2024,green
"Galaxy Tab Active3 (256GB, Red)",Tablets,650,270,473,Samsung,8.25 out of 10,395,6.10.2025,red
7800 (Green),Gaming Consoles,199.99,54,320,Atari,8.75 out of 10,269,3.23.2020,green
Technic Bugatti Chiron (42083) (Green),Toys,349.99,483,124,LEGO,9.45 out of 10,107,10.5.2020,green
Bluetooth Keyboard (Brown),Keyboards,49.99,498,972,Microsoft,8.75 out of 10,773,8.4.2021,blue
Monster Jam RC (Gray),Toys,79.99,69,275,Spin Master,8.5 out of 10,233,3.26.2023,gray
"Rox Wireless (Wired, Orange)",Headphones,79.99,0,737,Jabra,8.4 out of 10,571,7.18.2020,red
"Air Force 1 (Red, EU 42)",Shoes,120,469,364,Nike,8.75 out of 10,293,5.15.2020,red
"iPad Pro 12.9 (2021) (1TB, White)",Tablets,1799,0,254,Apple,9.55 out of 10,196,2.2.2021,white
Game Boy Advance (Orange),Gaming Consoles,80,409,220,Nintendo,8.5 out of 10,169,1.5.2025,orange
Nutri Pro Blender (Green),Kitchen,89.99,216,506,Ninja,8.75 out of 10,395,2.15.2022,green
"Pro Tights (Blue, XXL)",Clothing,65,421,66,Nike,8.75 out of 10,56,5.5.2020,blue
"Bravia X90J (75"", Black frame)",TVs,2199,0,234,Sony,8.8 out of 10,185,9.24.2023,black
"Condivo 20 Training Top (Yellow, XXL)",Clothing,60,319,641,Adidas,8.5 out of 10,498,1.16.2022,yellow
K70 Pro Mini Wireless (Gray),Keyboards,179.99,42,282,Corsair,8.75 out of 10,231,3.29.2021,gray
Surface Keyboard (Brown),Keyboards,99.99,0,435,Microsoft,8.5 out of 10,340,11.10.2025,brown
"65R635 (43"", Red frame)",TVs,449,431,221,TCL,8.75 out of 10,180,6.19.2025,red
"Surface Go 3 (256GB, Yellow)",Tablets,599,180,995,Microsoft,7.8 out of 10,798,8.28.2025,yellow
"Cali (Green, EU 46)",Shoes,85,0,219,Puma,8.25 out of 10,174,11.11.2024,green
"ThinkPad X12 Detachable (64GB, Brown)",Tablets,1200,405,644,Lenovo,8.75 out of 10,501,5.17.2020,brown
Approach S62 (Purple),Watches,499.99,0,393,Garmin,9.2 out of 10,316,1.25.2025,purple
"Galaxy S22 (128GB, Gray)",Smartphones,699,0,621,Samsung,8.75 out of 10,487,6.4.2023,gray
"Surface Pro 7+ (256GB, Blue)",Tablets,1199,239,673,Microsoft,8.5 out of 10,534,5.9.2021,blue
"Cortez (Red, EU 44)",Shoes,90,0,562,Nike,8.75 out of 10,452,7.6.2025,red
G512 Carbon (Red),Keyboards,99,433,241,Logitech,8.75 out of 10,200,4.26.2023,red
"AirPods (1st generation) (Wired, Orange)",Headphones,129,0,791,Apple,7.8 out of 10,627,6.22.2020,red
"CrossFit Nano 9 (White, EU 44)",Shoes,130,390,404,Reebok,8.75 out of 10,322,3.15.2020,white
"ThinkPad X1 Carbon (7th Gen) (128GB, Green)",Laptops,1200,128,69,Lenovo,8.75 out of 10,59,3.8.2022,green
"Denim Jacket (Green, M)",Clothing,39.99,236,759,H&M,8.25 out of 10,601,5.19.2025,green
"55OLED806 (75"", Green frame)",TVs,2499,143,568,Philips,8.55 out of 10,445,7.30.2023,green
Rubik's Cube (Brown),Toys,9.99,223,815,Spin Master,8.5 out of 10,660,12.6.2024,brown
"721 High Rise Skinny (Black, XS)",Clothing,89.5,441,660,Levi's,no value,534,11.14.2021,black
"iPad mini (2021) (64GB, Green)",Tablets,499,0,692,Apple,9 out of 10,572,12.4.2022,green
PSP (White),Gaming Consoles,120,33,330,Sony,8.5 out of 10,270,5.14.2021,white
Ektorp Sofa (Yellow),Furniture,499,447,339,IKEA,8.3 out of 10,271,11.12.2020,yellow
K400 Plus (Green),Keyboards,34.99,0,674,Logitech,8.5 out of 10,553,6.28.2025,green
"XPS 13 (9370) (1TB, Black)",Laptops,1299,281,122,Dell,8.7 out of 10,100,6.25.2023,black
"8 (1TB, Brown)",Smartphones,899,454,366,OnePlus,8.75 out of 10,298,3.13.2020,brown
G502 HERO (Gray),Mice,49.99,0,253,Logitech,9.25 out of 10,200,3.18.2021,gray
"530 (Black, EU 42)",Shoes,99.99,0,527,New Balance,8.75 out of 10,419,6.29.2021,black
Caper Chair (Red),Furniture,395,298,440,Herman Miller,8.75 out of 10,358,2.28.2024,red
"Galaxy S21 (128GB, Blue)",Smartphones,699,182,88,Samsung,8.75 out of 10,74,9.1.2025,blue
"Basic Hoodie (Blue, XXL)",Clothing,34.99,416,616,H&M,7.8 out of 10,486,12.15.2025,blue
Saturn (Green),Gaming Consoles,120,371,637,Sega,8.5 out of 10,483,3.21.2021,green
Wireless Mouse 900 (Red),Mice,24.99,140,46,Microsoft,8.5 out of 10,39,6.18.2024,red
"Pleated Skirt (Yellow, XL)",Clothing,29.99,120,93,H&M,7.85 out of 10,72,3.13.2021,yellow
KSB1570ER 5-Speed Blender (Green),Kitchen,99.99,117,79,KitchenAid,8.75 out of 10,58,6.1.2021,green
"10 Pro (512GB, Brown)",Smartphones,849,0,835,OnePlus,8.75 out of 10,650,12.12.2023,brown
"MacBook Pro 14 (2021) (128GB, Black)",Laptops,1999,0,652,Apple,9.25 out of 10,501,2.11.2021,black
"Tiro 21 Track Pants (Orange, XL)",Clothing,50,320,568,Adidas,8.75 out of 10,438,2.2.2024,orange
"Galaxy Tab S5e (64GB, Orange)",Tablets,350,0,514,Samsung,8.5 out of 10,410,12.4.2020,orange
Venu (Red),Watches,299.99,265,772,Garmin,,634,3.15.2025,red
Little People School Bus (Green),Toys,14.99,147,861,Fisher-Price,9.15 out of 10,697,4.4.2020,green
"Club C 85 (Black, EU 40)",Shoes,85,335,154,Reebok,8.5 out of 10,118,11.21.2024,black
Barista Express (Blue),Kitchen,699.95,306,312,Breville,9.2 out of 10,253,10.5.2025,blue
Cottage Road Coffee Table (Brown),Furniture,150,375,44,Sauder,,39,4.23.2020,brown
"Sport Earbuds (Wireless, Red)",Headphones,179,439,750,Bose,9.2 out of 10,591,5.28.2021,red
Cold Brew Coffee Maker (Black),Kitchen,89.99,11,805,KitchenAid,8.75 out of 10,658,3.30.2023,black
"Gazelle (White, EU 38)",Shoes,85,162,585,Adidas,,483,8.26.2021,white
Rubik's Cube (Blue),Toys,9.99,128,234,Spin Master,8.47 out of 10,196,5.22.2023,blue
Basilisk V3 (White),Mice,69.99,1,741,Razer,8.75 out of 10,579,6.17.2024,white
"70PUS8505 (75"", Red frame)",TVs,1200,490,566,Philips,8.5 out of 10,460,1.6.2024,red
"Bravia A8H (65"", Yellow frame)",TVs,1999,95,256,Sony,,198,11.9.2020,yellow
5-Shelf Bookcase (Brown),Furniture,130,133,198,Sauder,8.5 out of 10,164,10.30.2025,brown
"Redmi Note 9 (1TB, White)",Smartphones,399,0,563,Xiaomi,8.3 out of 10,436,1.31.2025,red
Kinetic Sand (Green),Toys,10.99,440,758,Spin Master,8.75 out of 10,618,1.28.2024,green
Sense (Red),Watches,299.95,331,494,Fitbit,8.75 out of 10,396,12.17.2020,red
"ExpertBook B9 (128GB, Orange)",Laptops,1500,375,827,Asus,8.75 out of 10,672,1.8.2020,orange
Xbox 360 Arcade (Blue),Gaming Consoles,199.99,0,881,Microsoft,7.5 out of 10,711,9.4.2024,blue
Wired Keyboard 600 (Gray),Keyboards,19.99,426,825,Microsoft,8.5 out of 10,666,5.29.2020,red
Xbox 360 Arcade (Orange),Gaming Consoles,99.99,99,334,Microsoft,7.8 out of 10,264,4.26.2022,orange
"8-Series Q825 (65"", Black frame)",TVs,1099,290,458,TCL,8.3 out of 10,373,5.9.2024,black
BlackWidow Lite (Orange),Keyboards,89.99,0,82,Razer,8.6 out of 10,59,1.15.2020,black
Sense (Brown),Watches,299.95,0,215,Fitbit,8.75 out of 10,177,2.12.2023,brown
"Zoom Freak 3 (Black, EU 38)",Shoes,120,477,21,Nike,8.75 out of 10,20,10.25.2025,black
"Faux Leather Biker Jacket (Orange, L)",Clothing,49.99,224,778,H&M,7.75 out of 10,623,3.13.2021,orange
"Iso-Chill Shorts (Brown, XS)",Clothing,35,356,644,Under Armour,8.5 out of 10,511,2.7.2021,brown
MX Master 3 (Blue),Mice,99.99,162,310,Logitech,9.2 out of 10,251,12.15.2024,blue
"Galaxy Tab S7 FE (1TB, Orange)",Tablets,799,0,572,Samsung,8.5 out of 10,454,6.4.2020,orange
"AirPods (3rd generation) (Wireless, Gray)",Headphones,169,0,776,Apple,8.75 out of 10,636,3.20.2023,gray
